ID,Age_Months,Gender,Trial_Number,Condition,Video_Side,Video_Name,Fam_Video_Box (Opened Video Box During Familiarization?) (1/0),Fam_Reward_Box (Opened Reward Box During Familiarization?)(1/0),Opens_Video,Opens_Reward,Video_Height,Reward_Height,Video_Time,Reward_Time,Number of Times Switched Between Boxes,First_Box
8_5F_ZOO ,67,F,3,Nonsocial,R,Nonsocial_Conflict_F2 ,1,1,0,1,0,6,0,25,0,
8_5F_ZOO ,67,F,4,Social,R,Social_Grooming_F2 ,1,1,0,1,0,6,0,23,0,
9_5F_ZOO,63,F,1,Social,L,Social_Caregiving_F1 ,1,1,1,1,5,10,4,17,1,
9_5F_ZOO,63,F,2,Nonsocial,L,Nonsocial_Play_F2 ,1,1,0,1,0,8,0,20,0,
9_5F_ZOO,63,F,3,Social,L,Social_Conflict_F2 ,1,1,1,1,5,9,1,20,1,
9_5F_ZOO,63,F,4,Nonsocial,L,Nonsocial_Grooming_F2 ,1,1,1,1,5,9,5,14,1,
10_6F_Zoo ,72,F,1,Nonsocial,L,Nonsocial_Conflict_F1 ,1,1,1,1,11,8,22,2,1,
10_6F_Zoo ,72,F,2,Social,L,Social_Grooming_F2  ,1,1,1,1,11,8,15,8,1,
10_6F_Zoo ,72,F,3,Nonsocial,L,Nonsocial_Play_F2,1,1,1,1,8,9,9,4,2,
10_6F_Zoo ,72,F,4,Social,L,Social_Caregiving_F2,1,1,1,1,10,9,11,2,2,
11_6F_Zoo,78,F,1,Social,L,Social_Caregiving_F1,1,1,0,1,0,11,0,28,0,
11_6F_Zoo,78,F,2,Nonsocial,L,Nonsocial_Grooming_F1 ,1,1,1,0,8,0,28,0,0,
11_6F_Zoo,78,F,3,Social,L,Social_Conflict_F2,1,1,0,1,0,8,0,28,0,
11_6F_Zoo,78,F,4,Nonsocial,L,Nonsocial_Play_F2 ,1,1,0,1,0,8,0,28,0,
12_6F_Zoo,76,F,1,Nonsocial,L,Nonsocial_Grooming_F1 ,1,1,0,1,0,10,0,26,0,
12_6F_Zoo,76,F,2,Social,L,Social_Play_F2 ,1,1,0,1,0,10,0,29,0,
12_6F_Zoo,76,F,3,Nonsocial,L,Nonsocial_Conflict_F2,1,1,0,1,0,8,0,29,0,
12_6F_Zoo,76,F,4,Social,L,Social_Caregiving_F1 ,1,1,0,1,0,8,0,29,0,
13_6F_Zoo,78,F,1,Social,L,Social_Conflict_F2 ,1,1,0,1,0,8,0,25,0,
13_6F_Zoo,78,F,2,Nonsocial,L,Nonsocial_Grooming_F2 ,1,1,1,0,8,0,27,0,0,
13_6F_Zoo,78,F,3,Social,L,Social_Play_F2 ,1,1,0,1,0,11,0,27,0,
13_6F_Zoo,78,F,4,Nonsocial,L,Nonsocial_Caregiving_F2 ,1,1,1,0,8,0,28,0,0,
11_4M_Zoo ,58,F,1,Nonsocial,L,Nonsocial_Caregiving_F2,1,1,0,1,0,7,0,29,0,
11_4M_Zoo ,58,F,2,Social,L,Social_Conflict_F2 ,1,1,0,1,0,6,0,27,0,
11_4M_Zoo ,58,F,3,Nonsocial,L,Nonsocial_Grooming_F1 ,1,1,0,1,0,8,0,28,0,
11_4M_Zoo ,58,F,4,Social,L,Social_Play_F2 ,1,1,0,1,0,7,0,28,0,
14_6F_Zoo,82,M,1,Social,L,Social_Caregiving_M1 ,1,1,0,1,0,11,0,26,0,
14_6F_Zoo,82,M,2,Nonsocial,L,Nonsocial_Grooming_M1,1,1,1,0,11,0,27,0,0,
14_6F_Zoo,82,M,3,Social,L,Social_Conflict_M2,1,1,0,1,0,8,0,28,0,
14_6F_Zoo,82,M,4,Nonsocial,L,Nonsocial_Play_M2 ,1,1,0,1,0,10,0,28,0,
15_4F_Zoo,57,F,1,Social,L,Social_Play_F2 ,1,1,1,0,7,0,28,0,0,
15_4F_Zoo,57,F,2,Nonsocial,L,Nonsocial_Caregiving_F1,1,1,0,1,0,7,0,28,0,
15_4F_Zoo,57,F,3,Social,L,Social_Conflict_F2,1,1,1,0,8,0,27,0,0,
15_4F_Zoo,57,F,4,Nonsocial,L,Nonsocial_Grooming_F2 ,1,1,0,1,0,10,0,28,0,
12_5M_Zoo,71,M,1,Nonsocial,L,Nonsocial_Grooming_M1,1,1,1,0,9,0,26,0,0,
12_5M_Zoo,71,M,2,Social,L,Social_Play_M2 ,1,1,0,1,0,10,0,29,0,
12_5M_Zoo,71,M,3,Nonsocial,L,Nonsocial_Conflict_M2,1,1,0,1,0,10,0,27,0,
12_5M_Zoo,71,M,4,Social,L,Social_Caregiving_M1,1,1,0,1,0,10,0,28,0,
13_4M_Zoo ,56,M,1,Social,L,Social_Conflict_M2 ,1,1,0,1,0,9,0,28,0,
13_4M_Zoo ,56,M,2,Nonsocial,L,Nonsocial_Grooming_M2 ,1,1,1,1,6,10,2,24,1,
13_4M_Zoo ,56,M,3,Social,L,Social_Play_M2 ,1,1,1,1,8,9,2,25,1,
13_4M_Zoo ,56,M,4,Nonsocial,L,Nonsocial_Caregiving_M2 ,1,1,1,1,7,10,2,24,1,
14_4M_Zoo,49,M,1,Nonsocial,L,NonSocial_Caregiving_M2 ,1,1,0,1,0,8,0,10,0,
14_4M_Zoo,49,M,2,Social,L,Social_Conflict_M2 ,1,1,0,1,0,7,0,13,0,
14_4M_Zoo,49,M,3,Nonsocial,L,Nonsocial_Grooming_M2 ,1,1,0,1,0,10,0,24,0,
14_4M_Zoo,49,M,4,Social,L,Social_Play_M2 ,1,1,0,1,0,5,0,16,0,
16_4F_Zoo ,49,F,1,Nonsocial,L,Nonsocial_Play_F2 ,1,1,0,1,0,7,0,28,0,
16_4F_Zoo ,49,F,2,Social,L,Social_Caregiving_F2 ,1,1,0,1,0,6,0,15,0,
16_4F_Zoo ,49,F,3,Nonsocial,L,Nonsocial_Grooming_F2 ,1,1,0,1,0,6,0,28,0,
16_4F_Zoo ,49,F,4,Social,L,Social_Conflict_F1,1,1,0,1,0,4,0,20,0,
15_4M_Zoo ,76,M,1,Social,L,Social_Play_M2,1,1,1,1,10,8,10,14,1,
15_4M_Zoo ,76,M,2,Nonsocial,L,Nonsocial_Caregiving_M1 ,1,1,1,1,9,7,6,17,1,
15_4M_Zoo ,76,M,3,Social,L,Social_Conflict_M2 ,1,1,1,1,10,4,13,12,1,
15_4M_Zoo ,76,M,4,Nonsocial,L,Nonsocial_Grooming_M2 ,1,1,1,1,10,8,4,17,1,
